Task, Epoch, Accuracy, Validation accuracy, Loss, Validation Loss
Task 0,Epoch0,0.20104438066482544,0.07094594836235046,0.7890685796737671,0.5242545008659363
Task 1,Epoch0,0.16463415324687958,0.033898305147886276,0.8137516975402832,0.4601495862007141
Task 0,Epoch1,0.2410791963338852,0.05067567527294159,0.5625466108322144,1.2392696142196655
Task 1,Epoch1,0.22386759519577026,0.04067796468734741,0.5664589405059814,1.35053551197052
Task 0,Epoch2,0.35944297909736633,0.05067567527294159,0.33327823877334595,3.469367027282715
Task 1,Epoch2,0.3736933767795563,0.08135592937469482,0.3288177251815796,3.934516191482544
Task 0,Epoch3,0.5056570768356323,0.05067567527294159,0.19822794198989868,5.567006587982178
Task 1,Epoch3,0.47909408807754517,0.04067796468734741,0.2043999433517456,5.869794845581055
Task 0,Epoch4,0.5961706042289734,0.05067567527294159,0.15553350746631622,7.173364639282227
Task 1,Epoch4,0.5714285969734192,0.0576271191239357,0.16333986818790436,5.568295955657959
Task 0,Epoch5,0.6570931077003479,0.10810811072587967,0.13367871940135956,3.3087093830108643
Task 1,Epoch5,0.6533101201057434,0.0576271191239357,0.14033211767673492,3.2123756408691406
Task 0,Epoch6,0.6892950534820557,0.07094594836235046,0.12285397201776505,0.8716347217559814
Task 1,Epoch6,0.6942508816719055,0.06101695075631142,0.12444329261779785,1.7774391174316406
Task 0,Epoch7,0.7214969396591187,0.06418918818235397,0.11195583641529083,0.8372963070869446
Task 1,Epoch7,0.7229965329170227,0.12542372941970825,0.11513429135084152,0.5067765116691589
Task 0,Epoch8,0.7284595370292664,0.06756756454706192,0.10319790244102478,0.6793306469917297
Task 1,Epoch8,0.7308362126350403,0.12203390151262283,0.10843244940042496,0.5960703492164612
Task 0,Epoch9,0.7415143847465515,0.06418918818235397,0.09912896901369095,0.47065791487693787
Task 1,Epoch9,0.7395470142364502,0.1525423675775528,0.10354675352573395,0.48782047629356384
Task 0,Epoch10,0.7711052894592285,0.2060810774564743,0.09398478269577026,0.4488600194454193
Task 1,Epoch10,0.75,0.15932203829288483,0.09991991519927979,0.3826138377189636
Task 0,Epoch11,0.777197539806366,0.22635135054588318,0.08969081193208694,0.37242943048477173
Task 1,Epoch11,0.7813588976860046,0.16271185874938965,0.0875425934791565,0.39772871136665344
Task 0,Epoch12,0.7989556193351746,0.20945945382118225,0.08333000540733337,0.34483861923217773
Task 1,Epoch12,0.7770034670829773,0.18644067645072937,0.08972924947738647,0.3888351619243622
Task 0,Epoch13,0.8259356021881104,0.1621621549129486,0.07563386112451553,0.4706933796405792
Task 1,Epoch13,0.7813588976860046,0.45084744691848755,0.08620607107877731,0.2248685657978058
Task 0,Epoch14,0.8294168710708618,0.3885135054588318,0.07513712346553802,0.2792332172393799
Task 1,Epoch14,0.7970383167266846,0.4203389883041382,0.08050726354122162,0.25883808732032776
Task 0,Epoch15,0.8285465836524963,0.5270270109176636,0.07341507077217102,0.19358284771442413
Task 1,Epoch15,0.8188153505325317,0.5525423884391785,0.07621587067842484,0.17518973350524902
Task 0,Epoch16,0.8259356021881104,0.5709459185600281,0.07277386635541916,0.15756855905056
Task 1,Epoch16,0.8405923247337341,0.24406780302524567,0.07467831671237946,0.39399078488349915
Task 0,Epoch17,0.8416013717651367,0.5236486196517944,0.06786972284317017,0.18327656388282776
Task 1,Epoch17,0.8344947695732117,0.2677966058254242,0.07000173628330231,0.35807135701179504
Task 0,Epoch18,0.8381201028823853,0.17229729890823364,0.06654755771160126,0.5364370346069336
Task 1,Epoch18,0.8432055711746216,0.4237288236618042,0.06799562275409698,0.2666145861148834
Task 0,Epoch19,0.8598781824111938,0.19256757199764252,0.06108742579817772,0.6391776204109192
Task 1,Epoch19,0.8475610017776489,0.5728813409805298,0.0644116997718811,0.5270829796791077
Task 0,Epoch20,0.8633594512939453,0.32094594836235046,0.05862235650420189,0.3703954815864563
Task 1,Epoch20,0.8501741886138916,0.6576271057128906,0.0665389746427536,0.15499381721019745
Task 0,Epoch21,0.8729329705238342,0.6655405163764954,0.05778229981660843,0.15017753839492798
Task 1,Epoch21,0.8536585569381714,0.7423728704452515,0.061866387724876404,0.11500060558319092
Task 0,Epoch22,0.8729329705238342,0.5777027010917664,0.056568268686532974,0.1616327464580536
Task 1,Epoch22,0.8728222846984863,0.5355932116508484,0.06090441346168518,0.20668290555477142
Task 0,Epoch23,0.867711067199707,0.20945945382118225,0.05736983194947243,0.6939082145690918
Task 1,Epoch23,0.8571428656578064,0.4406779706478119,0.061322376132011414,0.44929054379463196
Task 0,Epoch24,0.8738033175468445,0.42905405163764954,0.05408341810107231,0.4877205491065979
Task 1,Epoch24,0.8719512224197388,0.6677966117858887,0.0587124302983284,0.19180604815483093
Task 0,Epoch0,0.2178819477558136,0.08445946127176285,0.8132720589637756,0.6807423233985901
Task 1,Epoch0,0.175087109208107,0.04406779631972313,0.8116639852523804,0.5752882361412048
